serid,type,time
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,PostProcess-FpAreaCheck,0.00041
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-FpAreaCheck,1.00077
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-FpAreaCheck,0.00064
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,PostProcess-FpAreaCheck,1.00168
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-FpAreaCheck,0.00050
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-FpAreaCheck,0.00048
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,PostProcess-FpAreaCheck,0.00427
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-FpAreaCheck,0.00058
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,PostProcess-FpAreaCheck,0.00053
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-FpAreaCheck,1.00354
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,LungLeaf-FissureSegmentation-SlidingWindow,47.00103
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-FpAreaCheck,0.00048
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,PostProcess-FpAreaCheck,0.00039
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-FpAreaCheck,0.00054
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,PostProcess-FpAreaCheck,1.00183
1.2.392.200036.9116.2.5.1.37.2424372387.1550809995.331056,Preprocess-Cpp,60.79457
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-FpAreaCheck,0.00040
1.2.392.200036.9116.2.5.1.37.2424372387.1550799683.960461,Detection-Dbscan,48.31222
1.2.392.200036.9116.2.5.1.37.2424372387.1550799683.960461,Detection-Relocate,0.01325
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-FpAreaCheck,0.00061
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,PostProcess-FpAreaCheck,0.00098
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-FpAreaCheck,0.00250
1.2.392.200036.9116.2.5.1.37.2424372387.1550810225.534294,Detection-2ModelPredict,129.06221
