serid,type,time
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,PostProcess-MaliClassification,5.83121
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,LungLeaf-FissurePreproc,1.15748
1.2.392.200036.9116.2.5.1.37.2424372387.1550799683.960461,Detection-Dbscan,33.81104
1.2.392.200036.9116.2.5.1.37.2424372387.1550799683.960461,Detection-Relocate,0.01272
1.2.392.200036.9116.2.5.1.37.2424372387.1550810225.534294,Preprocess-Cpp,58.72806
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,LungLeaf-FissureSegmentation-SlidingWindow,30.25147
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,LungLeaf-FissureSegmentation-PatchPrediction,3.95078
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,LungLeaf-FissureSegmentation-MergeResult,0.04224
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,LungLeaf-FissureSegmentation,46.16862
1.2.392.200036.9116.2.5.1.37.2424372387.1550810225.534294,Preprocess-Python,30.27057
1.2.392.200036.9116.2.5.1.37.2424372387.1550810225.534294,Detection-PrepareLoader,0.00006
1.2.392.200036.9116.2.5.1.37.2424372387.1550810225.534294,Detection-GeneratePatches,13.42986
1.2.392.200036.9116.2.5.1.37.2424372387.1550810225.534294,Detection-SplitPatches,0.00027
1.2.392.200036.9116.2.5.1.37.2424372387.1550799683.960461,PostProcess-AirwayModel,0.47204
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,LungLeaf-PostProcessingAndDetection,37.31203
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,Preprocess-Cpp,54.49653
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,LungLeaf-PositionPrediction,1.00189
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,LungSeg-LungSegPrediction-StageOne,0.17342
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,LungSeg-LungSegPrediction,0.89703
1.2.392.200036.9116.2.5.1.37.2424372387.1550810549.681580,Preprocess-Cpp,60.74443
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,Preprocess-Python,23.36504
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,Detection-PrepareLoader,0.00008
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,Detection-GeneratePatches,10.58350
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,Detection-SplitPatches,0.01569
1.2.392.200036.9116.2.5.1.37.2424372387.1550810549.681580,Preprocess-Python,33.84977
1.2.392.200036.9116.2.5.1.37.2424372387.1550810549.681580,Detection-PrepareLoader,0.00007
1.2.392.200036.9116.2.5.1.37.2424372387.1550810549.681580,Detection-GeneratePatches,9.37128
1.2.392.200036.9116.2.5.1.37.2424372387.1550810549.681580,Detection-SplitPatches,0.00021
1.2.392.200036.9116.2.5.1.37.2424372387.1550809995.331056,Preprocess-Cpp,55.63750
1.2.392.200036.9116.2.5.1.37.2424372387.1550809995.331056,Preprocess-Python,16.35837
1.2.392.200036.9116.2.5.1.37.2424372387.1550809995.331056,Detection-PrepareLoader,0.00007
1.2.392.200036.9116.2.5.1.37.2424372387.1550809995.331056,Detection-GeneratePatches,8.72537
1.2.392.200036.9116.2.5.1.37.2424372387.1550809995.331056,Detection-SplitPatches,0.00019
1.2.392.200036.9116.2.5.1.37.2424372387.1550810225.534294,Detection-2ModelPredict,109.74618
1.2.392.200036.9116.2.5.1.37.2424372387.1550810225.534294,Detection-2ModelGetPbb,1.65087
1.2.392.200036.9116.2.5.1.37.2424372387.1550810225.534294,Detection-Concat,0.00019
1.2.392.200036.9116.2.5.1.37.2424372387.1550803369.202398,Preprocess-Cpp,105.84176
1.2.392.200036.9116.2.5.1.37.2424372387.1550810225.534294,Detection-Dbscan,15.00532
1.2.392.200036.9116.2.5.1.37.2424372387.1550810225.534294,Detection-Relocate,0.00197
1.2.392.200036.9116.2.5.1.37.2424372387.1550803369.202398,Preprocess-Python,19.00232
1.2.392.200036.9116.2.5.1.37.2424372387.1550803369.202398,Detection-PrepareLoader,0.00005
1.2.392.200036.9116.2.5.1.37.2424372387.1550810225.534294,PostProcess-AirwayModel,0.76999
1.2.392.200036.9116.2.5.1.37.2424372387.1550803369.202398,Detection-GeneratePatches,9.15198
1.2.392.200036.9116.2.5.1.37.2424372387.1550803369.202398,Detection-SplitPatches,0.00012
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,Detection-2ModelPredict,125.63647
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,Detection-2ModelGetPbb,1.22862
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,Detection-Concat,0.00014
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,Detection-Dbscan,6.89544
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,Detection-Relocate,0.00109
1.2.392.200036.9116.2.5.1.37.2424372387.1550810549.681580,Detection-2ModelPredict,130.73448
1.2.392.200036.9116.2.5.1.37.2424372387.1550810549.681580,Detection-2ModelGetPbb,1.27956
1.2.392.200036.9116.2.5.1.37.2424372387.1550810549.681580,Detection-Concat,0.00011
1.2.392.200036.9116.2.5.1.37.2424372387.1550811775.7929,Preprocess-Cpp,63.15573
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,PostProcess-AirwayModel,0.58294
1.2.392.200036.9116.2.5.1.37.2424372387.1550809995.331056,Detection-2ModelPredict,110.31999
1.2.392.200036.9116.2.5.1.37.2424372387.1550809995.331056,Detection-2ModelGetPbb,1.08239
1.2.392.200036.9116.2.5.1.37.2424372387.1550809995.331056,Detection-Concat,0.00008
1.2.392.200036.9116.2.5.1.37.2424372387.1550811775.7929,Preprocess-Python,23.30245
1.2.392.200036.9116.2.5.1.37.2424372387.1550811775.7929,Detection-PrepareLoader,0.00005
